Valentín Lillo Amo
Regina Téllez
Emigdio Rogelio Cuenca Roca
Isidro Montesinos
Amador Aragón-Soria
Magdalena Rocamora Arribas
Lorenzo Quirino Arias Almazán
Casandra Galván
Ileana Cordero Gelabert
Manu Mariscal-Rojas
Renato Jove Gilabert
Alfredo Cruz Tudela
Teo Sastre Tejera
Celestino de Mascaró
Estela del Alcalde
Brígida Huerta Tomas
Íñigo de Ochoa
Valero Vélez
Marcelino Mora Batalla
Íñigo Sotelo Vara
Victorino Noriega Cepeda
Germán Manzano Duque
Rosario Sandra Sanmiguel Velasco
Adrián Monreal-Pons
Juan Francisco Bartolomé
Matías Montenegro-Molins
Teo Porta-Padilla
Nico Ferrero Barreda
Georgina Lumbreras Izquierdo
Aristides Gomila-Zurita
Angélica Camacho Colom
David Heredia Vila
Elodia del Losa
Rosendo Valenzuela Arévalo
Blas Cueto-Riba
Tamara Plaza
Herminia Sierra-Fonseca
Anabel Mínguez Osorio
Gloria Guerrero Arco
Edelmira Patiño Rey
Emiliana Nebot Cervera
Ignacia Borrego-Farré
Liliana del Sanmiguel
Juan Parejo Garcés
Hugo Gual Guardiola
Martirio Heredia Solano
Jafet Múgica Galvez
Brígida Sastre
Celestina Ibarra-Durán
Luciana del Luján
Amado Almazán Vaquero
Humberto de Cueto
Fátima Agullo Cornejo
Felisa Quintana Alsina
Luciana de Solsona
Purificación Abril
Guiomar Márquez-Sureda
Lope Prado Perera
Abigaíl Valero Alba
Otilia Belda Balaguer
Severiano Serra Querol
Julieta Ojeda Figuerola
Jose Sainz-Company
Adán Gimeno Carro
Yéssica Mascaró Angulo
Esther Echevarría Zaragoza
Ileana Téllez Vives
Ana Belén Aroca
Jesusa Bermudez Vara
Florentino Pedrosa Rubio
Luz de Navas
Baldomero Luque Olmedo
Áurea Amor
Evangelina Roman Coronado
Melchor Rolando Sans Donaire
Leocadio Santana Márquez
Adela Barrio Madrid
Ernesto Coll Coronado
Asdrubal Pulido Blanes
Luís Agustí Canales
Modesta Feijoo Belmonte
Candelario Rivera Pacheco
Alfonso de Rosales
Teófila Arenas
Xavier Palmer
Eusebio del Blázquez
Mayte Español Meléndez
Melisa Pla-Terrón
Octavia Valera Alfaro
Jose Miguel Ayala Guzman
Fausto Sevilla
Gema de Guitart
Marta Pagès Alberola
Lisandro Expósito Barbero
Gustavo Gerardo Luque Santiago
Lourdes Ponce Aragón
Jerónimo Domínguez-Feliu
Guadalupe Blanco
Bonifacio Saturnino Garmendia Lerma
Sebastián Francisco Javier Ibañez Gomis
